player_name,season,matches_played,team,avg-tackle
Mohsen Maghsoudloujafari,1,16,telugu-titans,0.38
Tushar Balaram Bhoir,1,8,dabang-delhi-kc,0.38
Vikas Kumar,1,14,telugu-titans,0.36
Nilesh Salunke,1,21,telugu-titans,0.33
Vijin Thangadurai,1,12,tamil-thalaivas,0.33
Parmod Narwal,1,6,haryana-steelers,0.33
Mahesh Goud,1,21,up-yoddha,0.33
Jasvir Singh,1,15,jaipur-pink-panthers,0.33
Abolfazl Maghsodloumahali,1,19,dabang-delhi-kc,0.32
Satish,1,10,patna-pirates,0.3
Mahendra Ganesh Rajput,1,17,gujarat-fortunegiants,0.29
Preetam Chhillar,1,16,bengaluru-bulls,0.25
Shabeer Bappu,1,12,u-mumba,0.25
Rishank Devadiga,1,21,up-yoddha,0.24
CPO Surjeet Singh,1,17,haryana-steelers,0.24
Vikas Jaglan,1,13,patna-pirates,0.23
Tushar Patil,1,17,jaipur-pink-panthers,0.18
Rohit Gulia,1,19,gujarat-fortunegiants,0.16
Rohit Kumar,1,7,up-yoddha,0.14
Young Chang Ko,1,14,bengal-warriors,0.14
Deepak Kumar Dahiya,1,16,haryana-steelers,0.13
Deepak Narwal,1,16,bengal-warriors,0.13
Prashanth Kumar Rai,1,16,haryana-steelers,0.13
Surender Singh,1,18,up-yoddha,0.11
Sukesh Hegde,1,18,gujarat-fortunegiants,0.11
Maninder Singh,1,21,bengal-warriors,0.1
R. Sriram,1,11,dabang-delhi-kc,0.09
K. Prapanjan,1,22,tamil-thalaivas,0.05
Rajesh Mondal,1,24,puneri-paltan,0.04
Jang Kun Lee,1,21,bengal-warriors,0
Bhupender Singh,1,17,bengal-warriors,0
Nitin Madane,1,12,u-mumba,0
Navneet Gautam,1,3,jaipur-pink-panthers,0
Pawan Kumar Kadian,1,21,jaipur-pink-panthers,0
Pardeep Narwal,1,26,patna-pirates,0
Pardeep Kandola,1,3,bengaluru-bulls,0
Anand Patil,1,19,dabang-delhi-kc,0
Harish Naik,1,14,bengaluru-bulls,0
Amit Sheoran,1,4,bengaluru-bulls,0
