team_name,Season,matches_played,avg-points
Patna Pirates,3,16,31.62
Puneri Paltan,3,16,27.37
Telugu Titans,3,14,26.42
U Mumba,3,16,26.37
Bengal Warriors,3,16,25
Dabang Delhi K.C.,3,14,24.57
Jaipur Pink Panthers,3,14,22.14
Bengaluru Bulls,3,14,22.07
