team_name,Season,matches_played,super-raid
Patna Pirates,1,16,13
U Mumba,1,16,12
Puneri Paltan,1,14,11
Bengal Warriors,1,14,11
Jaipur Pink Panthers,1,16,9
Telugu Titans,1,14,8
Bengaluru Bulls,1,16,7
Dabang Delhi K.C.,1,14,5
