team_name,Season,matches_played,avg-raid
Telugu Titans,1,14,24
U Mumba,1,16,21.69
Jaipur Pink Panthers,1,16,21.5
Dabang Delhi K.C.,1,14,20.36
Bengal Warriors,1,14,20.21
Patna Pirates,1,16,19.75
Puneri Paltan,1,14,19.21
Bengaluru Bulls,1,16,18.19
