team_name,Season,matches_played,all-outs
Patna Pirates,0,131,193
U Mumba,0,126,171
Bengaluru Bulls,0,125,152
Telugu Titans,0,122,142
Dabang Delhi K.C.,0,122,141
Jaipur Pink Panthers,0,124,137
Puneri Paltan,0,126,134
Bengal Warriors,0,125,133
Gujarat Fortunegiants,0,69,93
U.P. Yoddha,0,66,70
Haryana Steelers,0,64,70
Tamil Thalaivas,0,64,53
