team_name,Season,matches_played,raid-points
Bengaluru Bulls,6,24,547
Patna Pirates,6,22,496
Dabang Delhi K.C.,6,24,483
Gujarat Fortunegiants,6,25,480
U Mumba,6,23,459
U.P. Yoddha,6,25,449
Haryana Steelers,6,22,447
Bengal Warriors,6,23,436
Tamil Thalaivas,6,22,419
Jaipur Pink Panthers,6,22,415
Telugu Titans,6,22,353
Puneri Paltan,6,22,346
