team_name,Season,matches_played,successful-tackles
Puneri Paltan,5,24,252
Gujarat Fortunegiants,5,24,242
Patna Pirates,5,26,226
Haryana Steelers,5,23,206
Telugu Titans,5,22,191
Bengaluru Bulls,5,22,185
Tamil Thalaivas,5,22,184
U.P. Yoddha,5,23,183
Bengal Warriors,5,24,181
U Mumba,5,22,176
Jaipur Pink Panthers,5,22,162
Dabang Delhi K.C.,5,22,159
