player_name,season,matches_played,team,successful-raids
Pardeep Narwal,1,104,patna-pirates,836
Rahul Chaudhari,1,120,tamil-thalaivas,776
Deepak Niwas Hooda,1,123,jaipur-pink-panthers,698
Ajay Thakur,1,115,tamil-thalaivas,640
Maninder Singh,1,79,bengal-warriors,586
Rohit Kumar,1,89,bengaluru-bulls,545
Rishank Devadiga,1,117,up-yoddha,467
Pawan Kumar Sehrawat,1,75,bengaluru-bulls,445
Kashiling Adake,1,92,bengaluru-bulls,424
Anup Kumar,1,91,jaipur-pink-panthers,421
Monu Goyat,1,69,up-yoddha,377
Nitin Tomar,1,66,puneri-paltan,366
Jang Kun Lee,1,103,patna-pirates,366
Naveen Kumar,1,42,dabang-delhi-kc,357
Sachin Tanwar,1,63,gujarat-fortunegiants,356
Siddharth Sirish Desai,1,39,telugu-titans,312
Vikash Kandola,1,51,haryana-steelers,302
Jasvir Singh,1,77,tamil-thalaivas,295
Sukesh Hegde,1,97,bengal-warriors,294
Prashanth Kumar Rai,1,94,haryana-steelers,286
K. Prapanjan,1,81,bengal-warriors,284
Shrikant Jadhav,1,72,up-yoddha,276
Chandran Ranjit,1,61,dabang-delhi-kc,255
Meraj Sheykh,1,95,dabang-delhi-kc,249
Deepak Narwal,1,81,jaipur-pink-panthers,244
Nilesh Salunke,1,79,jaipur-pink-panthers,229
Rajesh Narwal,1,92,dabang-delhi-kc,224
Rohit Baliyan,1,68,u-mumba,223
Wazir Singh,1,47,haryana-steelers,221
Rajesh Mondal,1,89,puneri-paltan,212
Pawan Kumar Kadian,1,74,puneri-paltan,206
Sandeep Narwal,1,120,u-mumba,191
Manjeet Chhillar,1,108,tamil-thalaivas,179
Rohit Gulia,1,58,gujarat-fortunegiants,176
Shabeer Bappu,1,74,tamil-thalaivas,169
Rakesh Kumar,1,55,telugu-titans,164
Manjeet,1,42,puneri-paltan,162
Deepak Kumar Dahiya,1,53,puneri-paltan,142
Abhishek Singh,1,32,u-mumba,141
CPO Surjeet Singh,1,48,tamil-thalaivas,138
Ajay Kumar,1,50,gujarat-fortunegiants,137
Ravi Dalal,1,38,dabang-delhi-kc,136
Surjeet Narwal,1,31,bengal-warriors,133
Mahesh Goud,1,65,bengal-warriors,133
Nitin Madane,1,37,u-mumba,132
Mahendra Ganesh Rajput,1,62,gujarat-fortunegiants,132
Abolfazl Maghsodloumahali,1,47,gujarat-fortunegiants,117
Sonu Narwal,1,33,puneri-paltan,116
Naveen,1,35,haryana-steelers,114
Selvamani K,1,56,haryana-steelers,109
More GB,1,45,gujarat-fortunegiants,108
Tushar Patil,1,53,patna-pirates,104
Vijay,1,59,dabang-delhi-kc,99
Surender Singh,1,48,up-yoddha,97
Nitin Rawal,1,45,jaipur-pink-panthers,91
V. Ajith Kumar,1,17,tamil-thalaivas,89
Athul MS,1,38,u-mumba,88
Pankaj Mohite,1,16,puneri-paltan,84
Ajinkya Ashok Pawar,1,31,jaipur-pink-panthers,73
Ran Singh,1,118,tamil-thalaivas,72
Shrikant Tewthia,1,71,bengal-warriors,66
Vinay,1,19,haryana-steelers,66
Darshan Kadian,1,39,puneri-paltan,66
Rohit Kumar Choudary,1,38,up-yoddha,64
Sunil Jaipal,1,38,bengaluru-bulls,63
Monu,1,52,patna-pirates,62
Mohammad Esmaeil Nabibakhsh,1,20,bengal-warriors,60
Arjun Deshwal,1,19,u-mumba,60
Gurvinder Singh,1,45,gujarat-fortunegiants,59
Mohsen Maghsoudloujafari,1,46,up-yoddha,55
Dong Geon Lee,1,33,u-mumba,54
Bhupender Singh,1,47,bengal-warriors,48
Jitesh Joshi,1,19,puneri-paltan,43
Pravin Niwale,1,17,dabang-delhi-kc,43
Vinod Kumar,1,29,bengaluru-bulls,43
Farhad Rahimi Milaghardan,1,58,telugu-titans,42
Sonu Jaglan,1,15,gujarat-fortunegiants,42
Surender Gill,1,15,up-yoddha,41
Vinod Kumar,1,47,gujarat-fortunegiants,41
Mahipal Narwal,1,34,gujarat-fortunegiants,40
Kuldeep Singh,1,66,patna-pirates,39
Sumit Singh,1,32,bengaluru-bulls,39
Rajnish,1,14,telugu-titans,39
Ashish Kumar,1,83,bengaluru-bulls,37
Rakesh Narwal,1,26,bengal-warriors,37
Suraj Desai,1,12,telugu-titans,35
Vineet Sharma,1,41,tamil-thalaivas,34
Akshay Jadhav,1,29,puneri-paltan,34
Ravindra Ramesh Kumawat,1,19,bengal-warriors,34
Harish Naik,1,21,bengaluru-bulls,34
Anand Patil,1,26,jaipur-pink-panthers,33
Amit Om Prakash Rathi,1,16,gujarat-fortunegiants,33
Yogesh Hooda,1,21,dabang-delhi-kc,29
Dharmaraj Cheralathan,1,116,haryana-steelers,29
R. Sriram,1,15,puneri-paltan,29
Vikas Jaglan,1,46,patna-pirates,28
Suresu Kumar,1,21,dabang-delhi-kc,26
Vikas Kumar,1,14,telugu-titans,26
Mohammad Esmaeil Maghsoudlou Mahalli,1,17,patna-pirates,25
Vinoth Kumar,1,17,u-mumba,25
Ajit Singh,1,17,jaipur-pink-panthers,24
Rakshith,1,17,telugu-titans,23
Sachin Kumar,1,46,up-yoddha,21
Manpreet Singh,1,13,patna-pirates,20
Rakesh Gowda,1,9,telugu-titans,20
Mangesh Bhagat,1,8,puneri-paltan,19
Pradeep Kumar,1,10,u-mumba,19
Dinesh Kumar,1,8,bengal-warriors,17
Azad Singh,1,13,up-yoddha,17
Amit Kumar,1,19,puneri-paltan,16
Umesh Mhatre,1,13,puneri-paltan,16
Manoj Kumar,1,52,gujarat-fortunegiants,16
Surender Nada,1,71,haryana-steelers,15
Armaan,1,10,telugu-titans,15
Amit Nagar,1,12,bengal-warriors,14
Gangadhari Mallesh,1,36,jaipur-pink-panthers,14
Ashish Chhokar,1,12,bengal-warriors,13
Parmod Narwal,1,35,haryana-steelers,13
Banty,1,11,bengaluru-bulls,13
Sushil Gulia,1,7,jaipur-pink-panthers,12
Suresh Kumar,1,11,puneri-paltan,12
D. Pradap,1,29,tamil-thalaivas,11
M. Thivakaran,1,9,tamil-thalaivas,11
Sachin Vittala,1,26,gujarat-fortunegiants,11
Shyam Kumar Sah,1,27,bengal-warriors,11
Nilesh Shinde,1,69,dabang-delhi-kc,11
Kalimuthu Balamahendran,1,23,telugu-titans,10
Tae Deok Eom,1,35,patna-pirates,10
Waleed Al Hasani,1,6,puneri-paltan,10
Isac Antony,1,9,telugu-titans,10
Amit Kumar,1,17,jaipur-pink-panthers,10
Anand,1,8,tamil-thalaivas,10
Amit Kumar,1,6,puneri-paltan,9
Sanjay Kumar,1,8,patna-pirates,9
Mohammad Maghshoudulu,1,18,patna-pirates,9
Anil Shriram Nimbolkar,1,6,dabang-delhi-kc,9
Preetam Chhillar,1,58,bengaluru-bulls,9
Ravinder Pahal,1,109,dabang-delhi-kc,8
Hadi Oshtorak,1,69,patna-pirates,8
Simon Kibura,1,9,bengal-warriors,8
Sushant Sail,1,9,puneri-paltan,8
Victor Onyango Obiero,1,6,tamil-thalaivas,8
Shubham Ashok Palkar,1,12,gujarat-fortunegiants,8
PO Surjeet Singh,1,92,puneri-paltan,7
Virender Wazir Singh,1,7,bengal-warriors,7
Elangeshwaran R,1,5,telugu-titans,7
Anand Surendra Tomar,1,5,haryana-steelers,7
C Manoj Kumar,1,12,telugu-titans,7
Kamal Singh,1,11,telugu-titans,7
Sachin Narwal,1,12,jaipur-pink-panthers,7
Balbir Singh,1,10,jaipur-pink-panthers,7
Jasmer Singh Gulia,1,52,bengaluru-bulls,7
Sandeep Kandola,1,16,telugu-titans,7
Deepak Kumar Rathee,1,20,haryana-steelers,7
Kedar Lal,1,10,bengal-warriors,7
Bhanu Pratap Tomar,1,6,up-yoddha,6
Anil Kashinath Patil,1,5,jaipur-pink-panthers,6
Mayur Shivtarkar,1,30,bengal-warriors,6
Parvesh,1,6,puneri-paltan,5
Mahesh Maruti Magdum,1,4,bengaluru-bulls,5
Emad Sedaghatnia,1,2,puneri-paltan,5
Ankit Beniwal,1,7,telugu-titans,5
Harmanjit Singh,1,4,gujarat-fortunegiants,5
Ravi V.,1,2,puneri-paltan,5
Sachin Khambe,1,22,puneri-paltan,5
Rupesh Tomar,1,15,dabang-delhi-kc,4
Dadaso Balaso Awad,1,12,dabang-delhi-kc,4
Vijay Malik,1,7,patna-pirates,4
Amit Hooda,1,86,jaipur-pink-panthers,4
D. Gopu,1,34,tamil-thalaivas,4
Mohit Sehrawat,1,13,bengaluru-bulls,4
Ankush,1,3,up-yoddha,4
Rahul Choudhary,1,5,jaipur-pink-panthers,4
Sunil Siddhgavali,1,42,jaipur-pink-panthers,4
Mohan Raman G,1,4,u-mumba,4
Sandeep,1,6,puneri-paltan,4
Vikash Kumar,1,6,u-mumba,4
Jawahar Dagar,1,46,patna-pirates,4
Sunil Kumar,1,68,gujarat-fortunegiants,3
Rohit,1,2,bengaluru-bulls,3
Sidharth,1,21,dabang-delhi-kc,3
Bhuvneshwar Gaur,1,6,haryana-steelers,3
Anand V,1,3,bengaluru-bulls,3
Ashish,1,7,patna-pirates,3
Amit Kumar,1,3,patna-pirates,3
Purna Singh,1,6,patna-pirates,3
Girish Maruti Ernak,1,104,puneri-paltan,3
Amit Kumar,1,11,telugu-titans,3
Joginder Singh Narwal,1,80,dabang-delhi-kc,3
Amit Kumar Tomar,1,9,dabang-delhi-kc,3
Gnanasekaran M,1,8,dabang-delhi-kc,3
Hadi Tajik,1,28,puneri-paltan,3
Dovlet Boshimov,1,2,patna-pirates,3
Ehsan Zamani Fard,1,8,dabang-delhi-kc,3
Wajid Ali,1,4,telugu-titans,3
Mohit Chhillar,1,109,tamil-thalaivas,3
Ram Kumar Sah,1,11,dabang-delhi-kc,3
Punit Kumar Teotia,1,4,dabang-delhi-kc,2
Md. Aruduzzaman Munshi,1,6,u-mumba,2
Sinotharan Kanesharajah,1,3,bengaluru-bulls,2
Seong Ryeol Kim,1,15,gujarat-fortunegiants,2
Mandeep Kumar,1,7,patna-pirates,2
Anil Kumar,1,54,dabang-delhi-kc,2
David Shilisia J Mosambayi,1,7,jaipur-pink-panthers,2
Fazel Atrachali,1,98,u-mumba,2
Sandeep Tomar,1,3,dabang-delhi-kc,2
Vinoth Paulyas,1,4,patna-pirates,2
C. Arun,1,87,telugu-titans,2
Sunil,1,63,tamil-thalaivas,2
Samarjeet Singh,1,22,jaipur-pink-panthers,2
Aman Kadian,1,4,dabang-delhi-kc,2
Palle Mallikarjun,1,3,telugu-titans,2
Yashwant Bishnoi,1,3,tamil-thalaivas,2
Mithin Kumar,1,3,bengal-warriors,2
Lalit Chaudhary,1,7,gujarat-fortunegiants,2
Md. Masud Karim,1,3,up-yoddha,2
Arun Kumar HN,1,4,haryana-steelers,2
Gaurav Kumar,1,3,u-mumba,2
Dharmender,1,4,gujarat-fortunegiants,2
Vimal Raj V,1,5,tamil-thalaivas,2
Sanoj Kumar,1,2,up-yoddha,2
Rinku Narwal,1,48,bengal-warriors,2
Vishal,1,25,jaipur-pink-panthers,2
Lokesh Kaushik,1,7,jaipur-pink-panthers,2
Prateek,1,6,haryana-steelers,1
Anil Kumar,1,19,dabang-delhi-kc,1
Yong Joo Ok,1,1,u-mumba,1
Sagar B Krishna,1,60,puneri-paltan,1
Vishal Bhardwaj,1,59,telugu-titans,1
Parvesh Attri,1,1,bengaluru-bulls,1
Nirbhay Narwal,1,2,bengaluru-bulls,1
Parveen Narwal,1,1,jaipur-pink-panthers,1
Nitin Kumar,1,1,u-mumba,1
Vikrant,1,3,telugu-titans,1
Vijay Kumar,1,21,bengaluru-bulls,1
Mahender Singh,1,62,bengaluru-bulls,1
Gulveer Singh,1,4,up-yoddha,1
Bhavani Rajput,1,4,tamil-thalaivas,1
Surinder Singh,1,63,u-mumba,1
Vishav Chaudhary,1,2,up-yoddha,1
Rohit Kumar,1,7,up-yoddha,1
Anuj Kumar,1,7,telugu-titans,1
Ajay,1,16,bengaluru-bulls,1
Sumit,1,18,up-yoddha,1
Parveen,1,25,haryana-steelers,1
Adarsh T,1,19,bengal-warriors,1
Amit,1,32,up-yoddha,1
Ajinkya Rohidas Kapre,1,2,u-mumba,1
Balram,1,2,dabang-delhi-kc,1
Saurabh Nandal,1,18,bengaluru-bulls,1
Himanshu,1,3,tamil-thalaivas,1
Shubham Shinde,1,23,puneri-paltan,1
Hemant Chauhan,1,3,tamil-thalaivas,1
Chand Singh,1,9,haryana-steelers,1
Vikas Chhillar,1,1,haryana-steelers,1
Gurchet Singh,1,4,bengaluru-bulls,1
Rakesh Singh Kumar,1,49,haryana-steelers,1
Kazuhiro Takano,1,2,jaipur-pink-panthers,1
Parveen M. Jangra,1,6,bengal-warriors,1
Inderpal Bishnoi,1,2,dabang-delhi-kc,1
Ravit Kumar,1,3,telugu-titans,1
Hyunil Park,1,2,telugu-titans,1
Krushna Madane,1,16,telugu-titans,1
Jay Bahadur Bohara,1,1,puneri-paltan,1
Jeeva Kumar,1,112,bengal-warriors,1
Gurpreet Singh,1,18,puneri-paltan,1
Amit Singh Chhillar,1,35,telugu-titans,1
Takamitsu Kono,1,1,puneri-paltan,1
Dong Ju Hong,1,9,u-mumba,1
Prashant Chavan,1,41,dabang-delhi-kc,1
Somvir Shekhar,1,61,jaipur-pink-panthers,1
Sunil Hanumanthappa,1,5,bengaluru-bulls,1
Santhosh B.S,1,9,up-yoddha,1
Rohit Rana,1,82,u-mumba,1
