team_name,Season,matches_played,avg-tackle
Puneri Paltan,7,20,11.6
Jaipur Pink Panthers,7,20,10.95
U.P. Yoddha,7,18,10.67
Haryana Steelers,7,19,10.26
Gujarat Fortunegiants,7,20,10.15
Telugu Titans,7,18,10.11
Patna Pirates,7,19,10.05
Bengaluru Bulls,7,19,10.05
U Mumba,7,19,9.63
Bengal Warriors,7,20,9.6
Dabang Delhi K.C.,7,20,9.35
Tamil Thalaivas,7,20,8.55
