player_name,season,matches_played,team,avg-raid
Pawan Kumar Sehrawat,1,24,bengaluru-bulls,11.29
Pardeep Narwal,1,21,patna-pirates,11.1
Siddharth Sirish Desai,1,21,u-mumba,10.38
Maninder Singh,1,22,bengal-warriors,9.36
Ajay Thakur,1,22,tamil-thalaivas,9.23
Nitin Tomar,1,11,puneri-paltan,9.09
Deepak Niwas Hooda,1,22,jaipur-pink-panthers,8.91
Sachin Tanwar,1,23,gujarat-fortunegiants,8.26
Monu Goyat,1,20,haryana-steelers,8
Vikash Kandola,1,22,haryana-steelers,7.82
Naveen Kumar,1,22,dabang-delhi-kc,7.82
Rahul Chaudhari,1,21,telugu-titans,7.57
Prashanth Kumar Rai,1,21,up-yoddha,7.2
Rohit Kumar,1,24,bengaluru-bulls,6.75
Chandran Ranjit,1,24,dabang-delhi-kc,6.38
Shrikant Jadhav,1,25,up-yoddha,5.64
K. Prapanjan,1,22,gujarat-fortunegiants,5.55
Rohit Baliyan,1,19,u-mumba,5.22
Meraj Sheykh,1,19,dabang-delhi-kc,4.95
Jang Kun Lee,1,18,bengal-warriors,4.39
Rishank Devadiga,1,23,up-yoddha,4.35
Nilesh Salunke,1,19,telugu-titans,4.26
Naveen,1,21,haryana-steelers,4.19
Ajinkya Ashok Pawar,1,17,jaipur-pink-panthers,4.18
Deepak Narwal,1,17,patna-pirates,4.12
Sukesh Hegde,1,17,tamil-thalaivas,4
Manjeet,1,22,patna-pirates,3.95
Mahesh Goud,1,10,bengal-warriors,3.8
More GB,1,22,puneri-paltan,3.59
Nitin Rawal,1,9,jaipur-pink-panthers,3.57
Sandeep,1,5,puneri-paltan,3.5
Darshan Kadian,1,14,u-mumba,3.5
Pawan Kumar Kadian,1,13,dabang-delhi-kc,3.46
Kashiling Adake,1,20,bengaluru-bulls,3.35
Armaan,1,4,telugu-titans,3.25
Monu,1,14,puneri-paltan,3.21
Vijay,1,21,patna-pirates,3.16
Abhishek Singh,1,15,u-mumba,3.13
Ravindra Ramesh Kumawat,1,12,bengal-warriors,3.08
Athul MS,1,19,tamil-thalaivas,3.06
Rohit Gulia,1,19,gujarat-fortunegiants,3.05
Harish Naik,1,7,bengaluru-bulls,3
Anup Kumar,1,13,jaipur-pink-panthers,2.92
Deepak Kumar Dahiya,1,11,puneri-paltan,2.82
Dong Geon Lee,1,11,gujarat-fortunegiants,2.82
Jasvir Singh,1,16,tamil-thalaivas,2.8
Selvamani K,1,15,jaipur-pink-panthers,2.71
Ajay Kumar,1,13,gujarat-fortunegiants,2.67
Anand,1,3,tamil-thalaivas,2.67
Bhupender Singh,1,4,bengal-warriors,2.5
Azad Singh,1,9,up-yoddha,2.33
Mahesh Maruti Magdum,1,4,bengaluru-bulls,2.33
Abolfazl Maghsodloumahali,1,10,u-mumba,2.3
Rajnish,1,4,telugu-titans,2.25
Tushar Patil,1,9,patna-pirates,2.22
Kamal Singh,1,8,telugu-titans,2.17
Mahendra Ganesh Rajput,1,13,gujarat-fortunegiants,2.15
Vikas Jaglan,1,14,patna-pirates,2.1
Wazir Singh,1,2,haryana-steelers,2
Victor Onyango Obiero,1,3,tamil-thalaivas,2
Amit Nagar,1,9,bengal-warriors,1.88
Anand Patil,1,7,jaipur-pink-panthers,1.86
CPO Surjeet Singh,1,9,tamil-thalaivas,1.78
Ran Singh,1,22,bengal-warriors,1.71
Dharmender,1,4,gujarat-fortunegiants,1.67
Amit Kumar,1,6,puneri-paltan,1.6
Anand Surendra Tomar,1,5,haryana-steelers,1.6
Sumit Singh,1,8,bengaluru-bulls,1.57
Akshay Jadhav,1,18,puneri-paltan,1.56
Mohsen Maghsoudloujafari,1,19,telugu-titans,1.53
Rakesh Narwal,1,6,bengal-warriors,1.5
Ajit Singh,1,6,jaipur-pink-panthers,1.5
Bhanu Pratap Tomar,1,6,up-yoddha,1.5
Sandeep Narwal,1,18,puneri-paltan,1.47
Arjun Deshwal,1,3,u-mumba,1.33
Sachin Kumar,1,25,up-yoddha,1.32
Farhad Rahimi Milaghardan,1,22,telugu-titans,1.29
Vinod Kumar,1,17,u-mumba,1.29
Rakshith,1,11,telugu-titans,1.27
Rajesh Mondal,1,11,puneri-paltan,1.27
Hadi Oshtorak,1,13,gujarat-fortunegiants,1.2
Shabeer Bappu,1,6,dabang-delhi-kc,1.17
Parvesh,1,6,puneri-paltan,1.17
D. Pradap,1,13,tamil-thalaivas,1.13
C Manoj Kumar,1,12,telugu-titans,1.11
Amit Kumar,1,17,jaipur-pink-panthers,1.09
Bhuvneshwar Gaur,1,6,haryana-steelers,1
Mithin Kumar,1,3,bengal-warriors,1
Lalit Chaudhary,1,3,gujarat-fortunegiants,1
Anand V,1,3,bengaluru-bulls,1
Vishav Chaudhary,1,2,up-yoddha,1
David Shilisia J Mosambayi,1,4,jaipur-pink-panthers,1
Shrikant Tewthia,1,8,bengal-warriors,0.75
Sunil Siddhgavali,1,16,jaipur-pink-panthers,0.71
Gaurav Kumar,1,3,u-mumba,0.67
Rajesh Narwal,1,16,dabang-delhi-kc,0.64
Yogesh Hooda,1,6,dabang-delhi-kc,0.6
Prateek,1,6,haryana-steelers,0.6
Shubham Ashok Palkar,1,4,gujarat-fortunegiants,0.5
Vimal Raj V,1,5,tamil-thalaivas,0.5
Parveen,1,19,haryana-steelers,0.5
Manjeet Chhillar,1,19,tamil-thalaivas,0.5
Amit Kumar,1,2,bengal-warriors,0.5
Rohit Kumar Choudary,1,6,up-yoddha,0.5
Gangadhari Mallesh,1,6,jaipur-pink-panthers,0.4
Lokesh Kaushik,1,6,jaipur-pink-panthers,0.4
Mayur Shivtarkar,1,18,haryana-steelers,0.33
Ashish Kumar,1,24,bengaluru-bulls,0.29
Girish Maruti Ernak,1,20,puneri-paltan,0.25
Vishal,1,6,dabang-delhi-kc,0.25
Rinku Narwal,1,15,puneri-paltan,0.25
Nitesh Kumar,1,25,up-yoddha,0.17
Anil Kumar,1,18,telugu-titans,0.17
PO Surjeet Singh,1,23,bengal-warriors,0.15
Sagar B Krishna,1,20,up-yoddha,0
Vishal Bhardwaj,1,17,telugu-titans,0
Fazel Atrachali,1,23,u-mumba,0
Jaideep,1,22,patna-pirates,0
Abozar Mohajermighani,1,21,telugu-titans,0
Sunil Kumar,1,25,gujarat-fortunegiants,0
Dharmaraj Cheralathan,1,22,u-mumba,0
Mahender Singh,1,24,bengaluru-bulls,0
Shubham Shinde,1,10,puneri-paltan,0
