team_name,Season,matches_played,super-tackles
Patna Pirates,0,131,131
Jaipur Pink Panthers,0,124,130
Puneri Paltan,0,126,125
Telugu Titans,0,122,115
U Mumba,0,126,104
Bengal Warriors,0,125,98
Dabang Delhi K.C.,0,122,96
Bengaluru Bulls,0,125,93
U.P. Yoddha,0,66,62
Haryana Steelers,0,64,50
Gujarat Fortunegiants,0,69,47
Tamil Thalaivas,0,64,45
