player_name,season,matches_played,team,avg-tackle
Manjeet Chhillar,1,15,puneri-paltan,4.07
PO Surjeet Singh,1,12,puneri-paltan,4
Sandeep Narwal,1,14,patna-pirates,3.93
Mohit Chhillar,1,13,u-mumba,3.54
Sandeep Kumar Dhull,1,10,dabang-delhi-kc,3.2
Girish Maruti Ernak,1,11,bengal-warriors,3
Sachin Shingade,1,2,puneri-paltan,3
Fazel Atrachali,1,11,u-mumba,2.91
Jasmer Singh Gulia,1,16,puneri-paltan,2.88
Amit Hooda,1,4,patna-pirates,2.75
Ravinder Pahal,1,11,dabang-delhi-kc,2.36
Bajirao Hodage,1,16,bengal-warriors,2.31
Dharmaraj Cheralathan,1,14,telugu-titans,2.21
Nilesh Shinde,1,16,bengal-warriors,2.13
Mahipal Narwal,1,4,patna-pirates,2
Jeeva Kumar,1,16,u-mumba,1.94
Sunil,1,15,patna-pirates,1.93
Ashish Kumar,1,13,bengaluru-bulls,1.92
Surender Nada,1,7,u-mumba,1.86
Hadi Oshtorak,1,10,patna-pirates,1.8
Vinod Kumar,1,9,patna-pirates,1.78
Anil Kumar,1,11,dabang-delhi-kc,1.73
C. Arun,1,11,jaipur-pink-panthers,1.55
Manoj Kumar,1,11,telugu-titans,1.55
Rajesh Narwal,1,14,jaipur-pink-panthers,1.5
Ran Singh,1,14,jaipur-pink-panthers,1.5
D. Suresh Kumar,1,12,patna-pirates,1.5
Meraj Sheykh,1,14,telugu-titans,1.5
Somvir,1,14,bengaluru-bulls,1.5
Rohit Rana,1,12,jaipur-pink-panthers,1.42
Kuldeep Singh,1,10,jaipur-pink-panthers,1.4
Vikas Kale,1,9,telugu-titans,1.33
Deepak Kumar,1,3,bengal-warriors,1.33
Rahul Kumar,1,11,telugu-titans,1.27
Vishal Mane,1,13,u-mumba,1.23
Samarjeet Singh,1,5,jaipur-pink-panthers,1.2
Rakesh Kumar,1,15,u-mumba,1.2
Shrikant Tewthia,1,13,bengaluru-bulls,1
Amit Singh Chhillar,1,5,dabang-delhi-kc,1
Sandeep,1,3,patna-pirates,1
Sushil Vijay Bhosle,1,2,dabang-delhi-kc,1
Darshan Kadian,1,2,patna-pirates,1
Rahul Chaudhari,1,13,telugu-titans,0.92
Gangadhari Mallesh,1,10,jaipur-pink-panthers,0.9
Mahendra Ganesh Rajput,1,8,bengal-warriors,0.88
Rajaguru Subramanian,1,7,dabang-delhi-kc,0.86
Umesh Mhatre,1,6,bengal-warriors,0.83
Preetam Chhillar,1,11,bengaluru-bulls,0.82
Deepak Kumar Rathee,1,14,bengaluru-bulls,0.79
Amit Om Prakash Rathi,1,8,bengaluru-bulls,0.75
Ravi Kumar,1,12,puneri-paltan,0.75
Jang Kun Lee,1,15,bengal-warriors,0.73
Shyam Kumar Sah,1,7,bengal-warriors,0.71
Jagdeesha K.K.,1,7,jaipur-pink-panthers,0.71
Anil Shriram Nimbolkar,1,6,dabang-delhi-kc,0.67
Pawan Kumar Sehrawat,1,13,bengaluru-bulls,0.62
Rohit Kumar,1,12,patna-pirates,0.58
Deepak Niwas Hooda,1,12,puneri-paltan,0.58
Rishank Devadiga,1,16,u-mumba,0.56
Prashant Chavan,1,6,puneri-paltan,0.5
Nitin More,1,10,bengal-warriors,0.5
Vijin Thangadurai,1,4,bengal-warriors,0.5
Navneet Gautam,1,7,jaipur-pink-panthers,0.43
Nitin Tomar,1,10,bengal-warriors,0.4
Manpreet Singh,1,13,patna-pirates,0.38
Rakesh Singh Kumar,1,8,dabang-delhi-kc,0.38
Yogesh Hooda,1,6,puneri-paltan,0.33
Pardeep Narwal,1,16,patna-pirates,0.31
Ajay Thakur,1,14,puneri-paltan,0.29
Kashiling Adake,1,11,dabang-delhi-kc,0.27
Seong Ryeol Kim,1,8,dabang-delhi-kc,0.25
Surjeet Narwal,1,12,bengaluru-bulls,0.25
Gnanasekaran M,1,8,dabang-delhi-kc,0.25
Sanju,1,4,telugu-titans,0.25
Sukesh Hegde,1,13,telugu-titans,0.23
Anup Kumar,1,13,u-mumba,0.23
Rohit Baliyan,1,11,telugu-titans,0.18
G.S. Manikandan,1,7,dabang-delhi-kc,0.14
Selvamani K,1,8,dabang-delhi-kc,0.13
Bhupender Singh,1,11,u-mumba,0.09
Mahesh Goud,1,13,bengal-warriors,0.08
Surender Singh,1,12,puneri-paltan,0.08
Rohit Kumar Choudary,1,7,dabang-delhi-kc,0
Tushar Patil,1,13,puneri-paltan,0
Tae Deok Eom,1,7,patna-pirates,0
CPO Surjeet Singh,1,12,dabang-delhi-kc,0
Somvir Shekhar,1,3,puneri-paltan,0
