team_name,Season,matches_played,tackle-points
Puneri Paltan,7,20,232
Jaipur Pink Panthers,7,20,219
Gujarat Fortunegiants,7,20,203
Haryana Steelers,7,19,195
Bengal Warriors,7,20,192
U.P. Yoddha,7,18,192
Patna Pirates,7,19,191
Bengaluru Bulls,7,19,191
Dabang Delhi K.C.,7,20,187
U Mumba,7,19,183
Telugu Titans,7,18,182
Tamil Thalaivas,7,20,171
