player_name,season,matches_played,team,super-10s
Pardeep Narwal,1,21,patna-pirates,15
Pawan Kumar Sehrawat,1,24,bengaluru-bulls,13
Siddharth Sirish Desai,1,21,u-mumba,12
Monu Goyat,1,20,haryana-steelers,10
Deepak Niwas Hooda,1,22,jaipur-pink-panthers,10
Maninder Singh,1,22,bengal-warriors,9
Naveen Kumar,1,22,dabang-delhi-kc,8
Sachin Tanwar,1,23,gujarat-fortunegiants,7
Ajay Thakur,1,22,tamil-thalaivas,7
Vikash Kandola,1,22,haryana-steelers,6
Rohit Kumar,1,24,bengaluru-bulls,5
Shrikant Jadhav,1,25,up-yoddha,5
Prashanth Kumar Rai,1,21,up-yoddha,5
Nitin Tomar,1,11,puneri-paltan,4
K. Prapanjan,1,22,gujarat-fortunegiants,4
Rahul Chaudhari,1,21,telugu-titans,4
Chandran Ranjit,1,24,dabang-delhi-kc,3
Deepak Narwal,1,17,patna-pirates,3
Meraj Sheykh,1,19,dabang-delhi-kc,2
Jang Kun Lee,1,18,bengal-warriors,2
Manjeet,1,22,patna-pirates,2
More GB,1,22,puneri-paltan,2
Abhishek Singh,1,15,u-mumba,2
Dong Geon Lee,1,11,gujarat-fortunegiants,1
Armaan,1,4,telugu-titans,1
Naveen,1,21,haryana-steelers,1
Rishank Devadiga,1,23,up-yoddha,1
Kashiling Adake,1,20,bengaluru-bulls,1
Selvamani K,1,15,jaipur-pink-panthers,1
Darshan Kadian,1,14,u-mumba,1
Deepak Kumar Dahiya,1,11,puneri-paltan,1
